STEP: 1
inst,def,use,succ,live_out,live_in
1,a,,2,,
2,b,,3,,
3,c,,4,,
4,i,,5,,
5,t1,,6,,
6,t0,,8,,
8,,"t0,t1","10,44",,"t0,t1"
10,i,t0,11,,t0
11,t0,t0,12,,t0
12,t2,a,13,,a
13,b,t2,14,,t2
14,t3,"a,b",15,,"a,b"
15,b,t3,16,,t3
16,t4,a,17,,a
17,c,t4,18,,t4
18,t5,"a,c",19,,"a,c"
19,a,t5,20,,t5
20,t6,a,21,,a
21,b,t6,22,,t6
22,t7,"a,b",23,,"a,b"
23,c,t7,24,,t7
24,,i,"26,30",,i
26,t8,a,27,,a
27,c,t8,33,,t8
30,t9,"a,c",31,,"a,c"
31,c,t9,33,,t9
33,,j,"8,35","t0,t1","j,t0,t1"
35,,i,"33,37","j,t0,t1","i,j,t0,t1"
37,t10,j,38,,j
38,j,t10,33,"j,t0,t1","t10,t0,t1"
44,t11,c,45,,c
45,a,t11,46,,t11
46,t12,a,47,,a
47,c,t12,48,,t12
48,,c,"54,50",,c
50,t13,"a,c",51,,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,,"a,c"
55,c,t14,,,t14
STEP: 2
inst,def,use,succ,live_out,live_in
1,a,,2,,
2,b,,3,,
3,c,,4,,
4,i,,5,,
5,t1,,6,,
6,t0,,8,"t0,t1",t1
8,,"t0,t1","10,44","c,t0","c,t0,t1"
10,i,t0,11,t0,t0
11,t0,t0,12,a,"a,t0"
12,t2,a,13,t2,a
13,b,t2,14,"a,b","a,t2"
14,t3,"a,b",15,t3,"a,b"
15,b,t3,16,a,"a,t3"
16,t4,a,17,t4,a
17,c,t4,18,"a,c","a,t4"
18,t5,"a,c",19,t5,"a,c"
19,a,t5,20,a,t5
20,t6,a,21,t6,a
21,b,t6,22,"a,b","a,t6"
22,t7,"a,b",23,t7,"a,b"
23,c,t7,24,i,"i,t7"
24,,i,"26,30","a,c","a,i,c"
26,t8,a,27,t8,a
27,c,t8,33,"j,t0,t1","j,t8,t0,t1"
30,t9,"a,c",31,t9,"a,c"
31,c,t9,33,"j,t0,t1","j,t9,t0,t1"
33,,j,"8,35","c,i,j,t0,t1","c,i,j,t0,t1"
35,,i,"33,37","c,i,j,t0,t1","c,i,j,t0,t1"
37,t10,j,38,"t10,t0,t1","j,t0,t1"
38,j,t10,33,"c,i,j,t0,t1","i,c,t10,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,t12,a
47,c,t12,48,c,t12
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 3
inst,def,use,succ,live_out,live_in
1,a,,2,,
2,b,,3,,
3,c,,4,,
4,i,,5,,
5,t1,,6,t1,
6,t0,,8,"c,t0,t1","c,t1"
8,,"t0,t1","10,44","c,t0","c,t0,t1"
10,i,t0,11,"a,t0","a,t0"
11,t0,t0,12,a,"a,t0"
12,t2,a,13,"a,t2",a
13,b,t2,14,"a,b","a,t2"
14,t3,"a,b",15,"a,t3","a,b"
15,b,t3,16,a,"a,t3"
16,t4,a,17,"a,t4",a
17,c,t4,18,"a,c","a,t4"
18,t5,"a,c",19,t5,"a,c"
19,a,t5,20,a,t5
20,t6,a,21,"a,t6",a
21,b,t6,22,"a,b","a,t6"
22,t7,"a,b",23,"i,t7","i,a,b"
23,c,t7,24,"a,i,c","a,i,t7"
24,,i,"26,30","a,c","a,i,c"
26,t8,a,27,"j,t8,t0,t1","a,j,t0,t1"
27,c,t8,33,"c,i,j,t0,t1","i,j,t8,t0,t1"
30,t9,"a,c",31,"j,t9,t0,t1","a,c,j,t0,t1"
31,c,t9,33,"c,i,j,t0,t1","i,j,t9,t0,t1"
33,,j,"8,35","c,i,j,t0,t1","c,i,j,t0,t1"
35,,i,"33,37","c,i,j,t0,t1","c,i,j,t0,t1"
37,t10,j,38,"i,c,t10,t0,t1","i,c,j,t0,t1"
38,j,t10,33,"c,i,j,t0,t1","i,c,t10,t0,t1"
44,t11,c,45,t11,c
45,a,t11,46,a,t11
46,t12,a,47,t12,a
47,c,t12,48,"a,c","a,t12"
48,,c,"54,50","a,c","a,c"
50,t13,"a,c",51,t13,"a,c"
51,a,t13,,,t13
54,t14,"a,c",55,t14,"a,c"
55,c,t14,,,t14
STEP: 4
inst,def,use,succ,live_out,live_in
1,a,,2,,
2,b,,3,,
3,c,,4,,
4,i,,5,,
5,t1,,6,"c,t1",c
6,t0,,8,"c,t0,t1","c,t1"
8,,"t0,t1","10,44","a,c,t0","a,c,t0,t1"
10,i,t0,11,"a,t0","a,t0"
11,t0,t0,12,a,"a,t0"
12,t2,a,13,"a,t2",a
13,b,t2,14,"a,b","a,t2"
14,t3,"a,b",15,"a,t3","a,b"
15,b,t3,16,a,"a,t3"
16,t4,a,17,"a,t4",a
17,c,t4,18,"a,c","a,t4"
18,t5,"a,c",19,t5,"a,c"
19,a,t5,20,a,t5
20,t6,a,21,"a,t6",a
21,b,t6,22,"i,a,b","i,a,t6"
22,t7,"a,b",23,"a,i,t7","a,i,b"
23,c,t7,24,"a,i,c","a,i,t7"
24,,i,"26,30","a,c,j,t0,t1","a,c,i,j,t0,t1"
26,t8,a,27,"i,j,t8,t0,t1","i,a,j,t0,t1"
27,c,t8,33,"c,i,j,t0,t1","i,j,t8,t0,t1"
